MFCARCLSM	27	MF - Clusters	BAG			H		4.44
MFCARDASM	27	MF - Pantry	SML			H
MFSESASSM	27	MF - Pantry	SML			H		2.14
MFCINNPME	27	MF - Pantry	MED			O		8.07
MFCACBPB10	28	MF - Granola	BLK			B		79.87
MFGOCHUME	29	MF - Pantry	MED			H
MFMIXENSM	30	MF - Nuts	SML			E		2.36
MFBRAZNME	30	MF - Nuts	MED			O		8.45
MFGOLDGLG	30	MF - Granola	LRG			E		3.97
MFSEEDMME	31	MF - Pantry	MED			O		4.22
MFMACAPME	32	MF - Pantry	MED			D		5.52
MFMIXENINFYME	31	MF - Nuts	MED			E		4.59
MFCHILBSM	33	MF - Tea	SML			H		3.47
MFTERIMB10	34	MF - Munchies	BLK			B
MFMIXENINFYSM	33	MF - Nuts	SML			E		3.61
MFTAMARME	33	MF - Munchies	MED			E		11.11
MFTERIMSM	35	MF - Munchies	SML			H		2.94
MFMACAPSM	35	MF - Pantry	SML			D		4.16
MFPEPITME	37	MF - Pantry	MED			O		4.85
MFMORINME	36	MF - Pantry	MED			D		8.39
MFBUCKWLG	37	MF - Pantry	LRG			E		3.90
MFCASHEB6	38	MF - Nuts	BLK			B
MFLEMMPSM	39	MF - Pantry	SML			H		7.13
MFEROLVSM	39	MF - Granola	BAG			E		3.79
MFCARCLLG	40	MF - Clusters	LRG			H		6.18
MFMORINSM	37	MF - Pantry	SML			H		6.93
MFWALNUME	41	MF - Nuts	MED			O		5.43
MFALMONME	41	MF - Nuts	MED			O		7.38
MFGARLPSM	41	MF - Pantry	SML			D		6.90
MFWALNUSM	42	MF - Nuts	SML			H		2.36
MFCASHEXL	42	MF - Nuts	XLG			E		9.78
MFLIQUOME	40	MF - Tea	MED			H		4.68
MFCACAPSM	42	MF - Pantry	SML			D		4.12
MFPEPITLG	44	MF - Pantry	LRG			E		7.65
MFMACARME	41	MF - Nuts	MED			H		10.40
MFCECACME	28	MF - Pantry	MED			B
MFTAMARSM	47	MF - Munchies	SML			E		13.01
MFPECANXL	47	MF - Nuts	XLG			E		8.07
MFCANIBME	48	MF - Pantry	MED			H		7.15
BULK-ABBNR-BOX	50	Bulk Products	BLK			B
MFEROLVB9	50	MF - Granola	BLK			B		91.92
MFCASHESM	50	MF - Nuts	SML			E		1.82
MFCACAPLG	50	MF - Pantry	LRG			O		7.88
MFCHERRME	52	MF - Pantry	MED			H		8.58
MFWALNULG	54	MF - Nuts	LRG			O		5.80
MFTAMARLG	55	MF - Munchies	LRG			E
MFNUTMESM	55	MF - Pantry	SML			H		9.94
MFPECANSM	56	MF - Nuts	SML			E		2.91
FLIONMSM	56	Fungi	A			H		21.20
MFTERIMLG	57	MF - Munchies	LRG			E		9.58
MFMIXENB5.5	60	MF - Nuts	BLK			B
MFYEASTME	61	MF - Pantry	MED			H		4.34
SDBLUEIXL	68	Stardust	XLG			H		112.90
FLIONMLG	68	Fungi	LRG			H
MFPSYHUME	69	MF - Pantry	MED			D		5.27
MFGINKLME	69	MF - Tea	MED			H		6.15
MFENGLBME	69	MF - Tea	MED			H		5.39
MFVALERSM	71	MF - Pantry	SML			H		12.56
FSHROBSM	73	Fungi	A			H		20.52
MFGINGRME	74	MF - Tea	MED			H		4.67
SDBLUEILG	73	Stardust	LRG			D		35.83
SDGREENLG	76	Stardust	LRG			H
MFWILDCME	77	MF - Munchies	MED			E		11.03
MFALMONXL	83	MF - Nuts	XLG			H		18.43
MFPECANLG	84	MF - Nuts	LRG			O		4.55
MFCUMSWSM	89	MF - Pantry	SML			H
MFSTARASM	103	MF - Pantry	SML			H		4.41
MFCARCLB9	127	MF - Clusters	BLK			B
MFFENNSSM	132	MF - Pantry	SML			H		6.19
MFGOTUKME	159	MF - Tea	MED			H		7.25
FREISHSM	199	Fungi	A			H		17.14
FCHAGASM	202	Fungi	A			H		19.66
SDCREATME	409	Stardust	MED			B
