Code,In family sheet?,Has BOM?,Has demand?,AVE /mo,Product Group,Current routing,Action needed
FLIONMSM,YES,YES,YES,149,Fungi,family sheet,(none)
MFMIXENB5.5,no,YES,YES,13,MF - Nuts,auto: hand-packing,add to family sheet for proper routing
MFTERIMLG,YES,YES,YES,21,MF - Munchies,family sheet,(none)
FLIONMLG,YES,YES,YES,4,Fungi,family sheet,(none)
MFPSYHUME,YES,YES,YES,74,MF - Pantry,family sheet,(none)
MFGINKLME,YES,YES,YES,29,MF - Tea,family sheet,(none)
MFVALERSM,YES,YES,YES,35,MF - Pantry,family sheet,(none)
SDBLUEIXL,no,YES,YES,5,Stardust,auto: hand-packing,add to family sheet for proper routing
MFENGLBME,YES,YES,YES,64,MF - Tea,family sheet,(none)
MFGINGRME,YES,YES,YES,81,MF - Tea,family sheet,(none)
SDGREENLG,no,YES,YES,4,Stardust,auto: hand-packing,add to family sheet for proper routing
SDBLUEILG,no,YES,YES,17,Stardust,auto: hand-packing,add to family sheet for proper routing
FSHROBSM,YES,YES,YES,93,Fungi,family sheet,(none)
MFWILDCME,YES,YES,YES,168,MF - Munchies,family sheet,(none)
MFPECANLG,YES,YES,YES,162,MF - Nuts,family sheet,(none)
MFALMONXL,no,YES,YES,68,MF - Nuts,auto: hand-packing,add to family sheet for proper routing
MFCUMSWSM,YES,YES,YES,50,MF - Pantry,family sheet,(none)
MFSTARASM,YES,YES,YES,59,MF - Pantry,family sheet,(none)
MFCARCLB9,no,YES,YES,2,MF - Clusters,auto: hand-packing,add to family sheet for proper routing
MFFENNSSM,YES,YES,YES,75,MF - Pantry,family sheet,(none)
MFGOTUKME,YES,YES,YES,39,MF - Tea,family sheet,(none)
FREISHSM,YES,YES,YES,43,Fungi,family sheet,(none)
FCHAGASM,YES,YES,YES,41,Fungi,family sheet,(none)
SDCREATME,no,no,no,,,(unplanned),add BOM; add demand row; add BOM
